image_path,num_gt_tokens,num_pred_tokens,token_edits,token_error_rate,cer,error_tokens,error_entropies,error_probs
data/oldNepaliDataset_new/images/DNA_1_00000523/eSc_line_60a64711.png,5,5,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_0013_0333/eSc_line_7814c697.png,70,69,3,0.04285714285714286,0.04054053872823715,र|म,0.03927302733063698|0.11488034576177597,0.9952428936958313|0.9756139516830444
data/oldNepaliDataset_new/images/DNA_0011_0647/eSc_line_99c71441.png,2,2,1,0.5,0.5,1,0.5455743670463562,0.8177311420440674
data/oldNepaliDataset_new/images/DNA_0013_0382/eSc_line_053ba3a0.png,11,11,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/15/eSc_line_ce366a0c.png,81,81,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_0001_0368/eSc_line_3a3608fb.png,50,50,1,0.02,0.01923076994717121,ट,0.3285549283027649,0.8993303179740906
data/oldNepaliDataset_new/images/DNA_0001_0368/eSc_line_6ef606dc.png,52,52,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_2_00000110_result/eSc_line_0c36b432.png,5,5,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_2_00000293_result/eSc_line_23ab474e.png,45,31,14,0.3111111111111111,0.3125,,,
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_004/eSc_line_0d73ae5f.png,71,71,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_2_00000110_result/eSc_line_fefebea5.png,63,63,3,0.047619047619047616,0.05882352963089943,ा|ं|ड,0.01425932813435793|0.7123004198074341|0.036828506737947464,0.9980442523956299|0.6267395615577698|0.9950010180473328
data/oldNepaliDataset_new/images/DNA_2_00000327_result/eSc_line_4202ed15.png,80,77,15,0.1875,0.21176470816135406,ल|र|पम|ु|गर|वत|े|छ|स|र|ं|क|त|मल|.,0.48672229051589966|0.0004052645235788077|0.6309364438056946|1.0065375566482544|1.35017728805542|0.2912304997444153|1.3498084545135498|0.2723833918571472|9.67730738921091e-06|5.100304406369105e-05|0.8099024295806885|0.40182408690452576|0.0011168187484145164|0.17852474749088287|1.6646648873575032e-05,0.8115845918655396|0.9999698400497437|0.8270354866981506|0.5121906995773315|0.6011120080947876|0.9563140273094177|0.6538457870483398|0.9587876796722412|0.9999995231628418|0.9999971389770508|0.701271653175354|0.9168839454650879|0.9999017715454102|0.9576495885848999|0.9999991655349731
data/oldNepaliDataset_new/images/DNA_2_00000293_result/eSc_line_96ceac53.png,27,27,1,0.037037037037037035,0.03333333507180214,्,0.30477187037467957,0.9097527265548706
data/oldNepaliDataset_new/images/DNA_1_00000356/eSc_line_a38a0f51.png,42,41,5,0.11904761904761904,0.06976744532585144,ह|्,0.0418684259057045|1.0208875210082624e-05,0.99320387840271|0.9999995231628418
data/oldNepaliDataset_new/images/20/eSc_line_aa683317.png,70,67,6,0.08571428571428572,0.07500000298023224,त|ै|व,0.04303395748138428|0.000590028241276741|0.59391188621521,0.9936042428016663|0.9999548196792603|0.7202516794204712
data/oldNepaliDataset_new/images/DNA_0013_0472/eSc_line_0987d07d.png,94,92,4,0.0425531914893617,0.059405941516160965,ण|्|प|न,0.12282237410545349|0.7038748860359192|0.010101639665663242|0.5158204436302185,0.9758384823799133|0.7681665420532227|0.9988033771514893|0.8036630153656006
data/oldNepaliDataset_new/images/DNA_1_00000356/eSc_line_9626168a.png,6,6,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_1_00000410/eSc_line_7a52bc2f.png,31,32,7,0.22580645161290322,0.23529411852359772,्|रम|।|े|्|न,1.0037767887115479|0.003182975109666586|0.004377272445708513|0.11226364970207214|0.4801941215991974|0.6951290369033813,0.7061969041824341|0.9996920824050903|0.9995380640029907|0.9764471650123596|0.8200564980506897|0.6730349063873291
data/oldNepaliDataset_new/images/15/eSc_line_6c0890e4.png,83,82,2,0.024096385542168676,0.033707864582538605,सम,0.5974987745285034,0.869339108467102
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_006/eSc_line_c061213c.png,69,69,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_2_00000394_result/eSc_line_e03f77cb.png,41,41,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_0015_0290/eSc_line_9ab4d0d3.png,65,63,2,0.03076923076923077,0.02985074557363987,,,
data/oldNepaliDataset_new/images/DNA_0012_0007/eSc_line_4ceb9aa6.png,48,49,1,0.020833333333333332,0.018518518656492233,.,0.6521255970001221,0.6521981358528137
